experiment,policy,lr,gamma,batch_size,eps_start,eps_end,exploration_fraction,timesteps,train_minutes,eval_reward_mean,eval_reward_std
d01_highlr_bigbatch,CnnPolicy,0.001,0.99,128,1,0.05,0.1,500000,35.3,-21,0
d02_lowlr_slowdecay,CnnPolicy,1.00E-05,0.99,32,1,0.05,0.3,500000,28.7,-20.33,0.47
d03_batch128_gamma095,CnnPolicy,0.0001,0.95,128,1,0.05,0.1,500000,35,-1,0
d04_fastdecay_lowend,CnnPolicy,0.0001,0.99,32,1,0.01,0.02,500000,30.4,-19.33,0.94
d05_batch64_slowdecay,CnnPolicy,0.0001,0.99,64,1,0.05,0.3,500000,31.1,-2.67,0.94
d06_lr5e4_batch64,CnnPolicy,0.0005,0.99,64,1,0.05,0.1,500000,34.5,-21,0
d07_highgamma_batch128,CnnPolicy,0.0001,0.999,128,1,0.05,0.1,500000,40.6,18,1.41
d08_low_eps_start,CnnPolicy,0.0001,0.99,32,0.5,0.05,0.1,500000,34.4,-6.67,9.46
d09_lowgamma_fastdecay,CnnPolicy,0.0001,0.9,32,1,0.05,0.02,500000,34.6,-13,4.24
