experiment,policy,lr,gamma,batch_size,eps_start,eps_end,exploration_fraction,timesteps,train_minutes,eval_reward_mean,eval_reward_std
exp01_baseline,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.1,500000,29.3,-14.33,6.6
exp02_high_lr,CnnPolicy,0.001,0.99,32,1.0,0.05,0.1,500000,29.5,-21.0,0.0
exp03_low_lr,CnnPolicy,1e-05,0.99,32,1.0,0.05,0.1,500000,30.0,-21.0,0.0
exp04_low_gamma,CnnPolicy,0.0001,0.9,32,1.0,0.05,0.1,500000,30.2,-14.67,2.36
exp05_high_gamma,CnnPolicy,0.0001,0.999,32,1.0,0.05,0.1,500000,30.3,-16.0,0.0
exp06_batch64,CnnPolicy,0.0001,0.99,64,1.0,0.05,0.1,500000,32.5,-8.0,7.07
exp07_batch128,CnnPolicy,0.0001,0.99,128,1.0,0.05,0.1,500000,36.3,9.0,1.41
exp08_fast_decay,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.02,500000,30.5,-18.33,0.94
exp09_slow_decay,CnnPolicy,0.0001,0.99,32,1.0,0.05,0.3,500000,29.2,-12.0,2.83
